"","researcher","h.index","g.index","r.index","number","year1st","journals","vip","avc","allc"
"1","Ahmed",18,25,22.9346898823594,68,13,25,0,12.9705882352941,882
"2","Allen",5,11,11.13552872566,9,4,8,1,15.3333333333333,138
"3","AlonU",45,120,117.213480453402,90,17,31,39,161.6,14544
"4","AndrewsS",30,52,48.5592421687159,58,38,23,0,47.6379310344828,2763
"5","ArmitageJ",37,60,54.1756402823261,128,41,48,10,33.296875,4262
"6","ArvinA",62,96,87.3097932651315,247,39,63,21,48.4210526315789,11960
"7","AzamFarooq ",61,131,122.751782064457,148,50,45,10,117.952702702703,17457
"8","BainesJoel",32,52,48.1663783151692,69,24,5,3,41.2173913043478,2844
"9","Baumler",49,79,73.613857391119,120,23,35,10,55.8166666666667,6698
"10","BeatyTerri",51,89,81.590440616533,220,35,72,9,42.2363636363636,9292
"11","Beeson",33,54,50.2692749102272,83,17,31,8,37.855421686747,3142
"12","Beja",28,59,56.9649014745045,51,15,16,6,68.7843137254902,3508
"13","Berger",37,98,96.5453261426984,65,27,29,17,148.892307692308,9678
"14","BeverleyS",59,96,87.4528444363018,185,34,59,32,55.8,10323
"15","BiswasI",13,31,30.3150127824482,27,23,8,1,36.3333333333333,981
"16","BlankeS",26,39,36.5102725270574,56,27,28,8,30.125,1687
"17","BoothI",47,75,68.3081254317523,127,40,36,9,49.6535433070866,6306
"18","BrindleyPJ",42,62,56.6833308830736,178,34,61,5,28.9325842696629,5150
"19","BrisseS",37,66,60.2494813255683,125,17,45,3,38.288,4786
"20","BroachJ",60,110,102.645019362851,121,40,44,26,101.066115702479,12229
"21","BrownGD",17,34,32.6343377441614,41,8,21,3,29.5121951219512,1210
"22","BrulS",26,46,43.4281015012169,72,18,36,0,31.6527777777778,2279
"23","BrumellJ",39,70,64.7688196588451,86,21,38,5,57.953488372093,4984
"24","BuchlerNE",9,32,32.5883414736007,10,12,7,2,106.2,1062
"25","BurnsDL",26,44,40.9267638593622,79,33,31,1,26.8481012658228,2121
"26","CamillaN",16,34,33.8378486313773,22,14,15,3,55.5,1221
"27","CarruthersV",34,60,56.6303805390711,83,27,35,4,45.7469879518072,3797
"28","Catcheside",17,22,20.7605394920267,51,36,21,1,13.5294117647059,690
"29","ChandlerM",15,24,22.956480566498,38,9,26,6,17.2631578947368,656
"30","ChaterK",56,96,87.6641317757725,166,43,48,8,62.5602409638554,10385
"31","ChiuC",10,23,23.3238075793812,13,18,11,1,42.9230769230769,558
"32","ClarkCG",37,68,62.9285308902091,84,33,40,4,57.0476190476191,4792
"33","ClaytonC",41,66,60.1581249707801,106,37,20,0,44.5,4717
"34","CoenD",56,94,85.463442476886,170,44,42,22,58.7176470588235,9982
"35","CoffeyA",22,35,32.4961536185438,64,24,33,0,20.625,1320
"36","ConwayD",41,69,63.1901891119183,126,26,37,9,42.8888888888889,5404
"37","CossartP",86,141,129.077496102148,294,37,96,47,78.9387755102041,23208
"38","CotterP",32,61,56.1871871515206,108,16,41,5,36.8703703703704,3982
"39","CowenLE",21,42,39.560080889705,46,16,26,7,38.6086956521739,1776
"40","CoyneC",21,41,39.585350825779,38,15,25,2,44.6315789473684,1696
"41","CuelloJ",5,11,11,14,9,9,0,9.92857142857143,139
"42","DamaniaB",26,44,40.9267638593622,73,16,33,6,29.8082191780822,2176
"43","DehioC",43,71,65.5362495112438,100,23,53,9,52.53,5253
"44","dEnfert",30,63,59.8331012066064,75,17,32,2,54.6133333333333,4096
"45","DennisJ",18,37,34.8855270850248,48,70,30,0,29.6041666666667,1421
"46","DereticV",67,126,114.31972708155,161,29,66,13,102.310559006211,16472
"47","DermodyT",41,61,55.7314991723711,147,25,45,9,32.1768707482993,4730
"48","deVosW",89,143,128.662348804924,491,34,126,17,59.969450101833,29445
"49","DiRitaV",35,63,59.1016074231488,69,32,28,6,58.2173913043478,4017
"50","DocampoR",56,80,72.2011080247388,244,41,72,5,38.3196721311475,9350
"51","DominiqueS",24,50,46.690470119715,57,24,35,8,44.719298245614,2549
"52","DormanC",36,66,60.3821165578021,96,30,35,9,49.28125,4731
"53","DriessenA",67,103,93.2523458149981,340,30,76,18,45.0617647058824,15321
"54","DuraisinghM",34,61,57.5586657246326,82,19,42,8,47.390243902439,3886
"55","EberlL",53,87,80.3181175078201,171,23,66,3,49.7485380116959,8507
"56","ElenaS",39,73,66.5432190384565,145,24,57,17,41.4965517241379,6017
"57","EnquistL",59,94,85.4458893101359,201,43,54,22,52.3930348258707,10531
"58","EspinelA",48,85,77.7495980697007,139,40,26,0,56.9496402877698,7916
"59","FinlayB",87,142,126.87001221723,373,32,118,36,68.9008042895442,25700
"60","ForneyL",37,81,74.4378935757857,99,26,46,3,68.010101010101,6733
"61","FosterS",47,82,74.4043009509531,149,43,65,5,52.0268456375839,7752
"62","FraserL",18,68,68.2934843158555,25,10,13,10,190.16,4754
"63","FuhrmanJ",66,124,115.732450073434,127,37,34,17,121.40157480315,15418
"64","GarciaSA",78,130,118.604384404625,321,26,86,40,64.0249221183801,20552
"65","GarethB",7,12,11.7473401244707,15,8,13,1,11.0666666666667,166
"66","GibsonW",43,60,55.7494394590654,136,37,43,3,34.4779411764706,4689
"67","GoldmanW",41,62,58.0344725141876,76,35,35,15,53.5394736842105,4069
"68","GoryachevA",19,32,30.7408522978788,34,21,27,1,31.3823529411765,1067
"69","GrossC",65,118,110.557677254906,137,43,35,33,103.328467153285,14156
"70","HandelsmanJ",46,97,90.6642156531451,114,31,49,6,83.7017543859649,9542
"71","HardtW",44,82,75.6240702422185,110,22,47,10,62.8181818181818,6910
"72","HatfullG",46,97,89.0898422941695,135,31,43,24,71.8518518518518,9700
"73","HehlA",23,45,42.2965719651132,58,21,33,3,35.6896551724138,2070
"74","HeinzO",32,48,43.8520238985614,81,32,41,3,32.7901234567901,2656
"75","HeitmanJ",84,130,117.792189893897,331,28,80,23,66.6586102719033,22064
"76","HenkinT",39,63,57.835974963685,79,33,24,10,52.2151898734177,4125
"77","HenselM",39,76,70.9647799968407,99,20,44,2,60.6969696969697,6009
"78","HillR",31,51,46.9574275274956,73,23,31,1,37.5753424657534,2743
"79","HollomanW",31,58,54.5893762558247,79,44,28,20,45.2405063291139,3574
"80","HoriiT",18,29,26.2868788561898,66,9,40,1,15.0909090909091,996
"81","HornefM",21,45,43.2550575077643,49,21,34,2,42.7142857142857,2093
"82","HubeB",43,76,69.5916661677244,134,22,56,3,46.6417910447761,6250
"83","HuttFL",29,51,46.6797600679352,68,32,20,5,39.9852941176471,2719
