"","researcher","h.index","g.index","r.index","number","year1st","journals","vip","avc","allc"
"84","IdnurmA",25,43,41.3763217311544,53,15,28,6,35.8490566037736,1900
"85","IngoAutenrieth",38,64,58.1893461039046,131,26,57,1,36.9923664122137,4846
"86","IsbergR",55,98,89.6994983263563,144,35,47,20,69.3333333333333,9984
"87","JamesM",27,47,43.7949768809164,52,22,31,2,42.6923076923077,2220
"88","JanbonG",21,41,39.522145690739,42,21,25,1,41.2857142857143,1734
"89","JanssonJ",33,56,52.9055762656452,59,27,28,3,54.9491525423729,3242
"90","KapurV",43,85,77.1556867638413,123,23,56,6,62.6585365853659,7707
"91","KeimP",66,107,97.0154626850792,290,42,94,15,49.3103448275862,14300
"92","KernF",25,54,50.8625599041181,69,21,42,2,43.3478260869565,2991
"93","KishonyR",21,43,40.8166632639171,39,18,21,25,47.6923076923077,1860
"94","KleinB",30,52,47.8434948556227,100,31,42,4,30.88,3088
"95","KorhonenT",55,84,76.8700201639105,188,37,66,1,46.3882978723404,8721
"96","KoronakisV",42,73,67.3424086293325,89,30,38,13,61.8202247191011,5502
"97","KrugR",59,95,87.2238499494261,128,51,36,24,74.09375,9484
"98","KueckU",35,54,48.9795875850338,125,35,45,2,31.744,3968
"99","KuhnR",50,85,77.8010282708397,133,32,48,29,57.5413533834586,7653
"100","KwonJ",5,24,24.1453929352993,5,10,5,1,116.6,583
"101","LawM",15,34,33.7638860322683,17,19,11,3,68.0588235294118,1157
"102","LecuitM",37,65,60.6794858251123,116,21,60,13,38.9827586206897,4522
"103","LeibD",31,66,63.3403504884525,66,26,18,6,68.2878787878788,4507
"104","LemichezE",26,54,51.1468474101777,70,20,46,8,43.5,3045
"105","LenskiR",67,115,105.69768209379,155,33,46,44,89.0516129032258,13803
"106","LevinP",20,40,39,31,23,14,4,53.5161290322581,1659
"107","LevitzS",44,72,65.9848467452945,110,31,37,3,52,5720
"108","LoefflerF",33,61,56.4180822077461,85,25,26,2,46.7764705882353,3976
"109","LugtenbergB",67,116,104.742541500577,209,40,51,7,73.7129186602871,15406
"110","LukesJ",32,48,44.3959457608462,175,25,54,3,19.7828571428571,3462
"111","LutkenJ",55,93,86.9137503505631,96,38,24,10,90.84375,8721
"112","MaidenM",61,112,103.947101931704,197,28,69,9,68.5989847715736,13514
"113","MaiwaldM",24,37,36.1386219991853,37,28,31,0,38.8378378378378,1437
"114","MargaretK",18,28,26.9072480941474,30,27,22,0,28.0333333333333,841
"115","MargolinW",36,62,57.5760366819391,76,33,23,7,51.7105263157895,3930
"116","MarinusM",35,63,58.2494635168428,84,47,28,4,48.9285714285714,4110
"117","Marlene ",47,79,71.596089278675,139,42,47,31,50.5539568345324,7027
"118","MarraffiniL",16,49,49.335585534176,26,9,16,12,95.1538461538462,2474
"119","MatthewP ",25,43,40.7062648740952,44,9,23,5,43.4090909090909,1910
"120","McChesneyM",35,55,51.2640224719052,76,28,34,1,42.3289473684211,3217
"121","McConvilleM",48,82,75.4188305398592,127,33,53,7,58.0708661417323,7375
"122","McFaddenG",57,85,76.9155380921176,226,42,92,17,43.0530973451327,9730
"123","MillerV",45,90,84.5576726264388,94,46,24,9,87.3617021276596,8212
"124","MitchellA",24,41,39.4715087119811,53,9,26,1,33.2452830188679,1762
"125","MolinS",77,127,115.286599394726,232,41,65,5,77.7974137931034,18049
"126","MonackD",42,91,88.6284378740819,70,26,31,16,119.957142857143,8397
"127","MoorePS",57,139,135.771867483658,108,36,58,14,181.416666666667,19593
"128","MosconaA",50,100,91.8585869693193,161,63,46,27,67.1304347826087,10808
"129","MosserD",38,80,76.6485485837795,70,31,33,1,92.4142857142857,6469
"130","MulveyM",24,54,53.0659966456864,40,18,25,2,74.025,2961
"131","MunroC",25,50,49.3558507170123,33,29,18,2,76.7575757575758,2533
"132","NeishA",13,29,28.3019433961698,20,23,19,1,42.95,859
"133","NewmanD",46,112,103.980767452448,201,48,70,0,65.5721393034826,13180
"134","NhieuG",4,7,7.74596669241483,6,15,6,1,10.1666666666667,61
"135","NizetV",58,101,93.3380951166243,171,20,68,12,63.9298245614035,10932
"136","NutmanT",62,93,84.2496290793022,302,38,86,8,39.9933774834437,12078
"137","OakleyB",36,94,91.1592014006266,77,42,40,11,117.116883116883,9018
"138","OGara",38,65,58.7622327690158,189,42,83,3,29.015873015873,5484
"139","OhlsenK",23,41,38.5097390279394,52,18,28,0,34.3461538461538,1786
"140","OpenshawP",41,74,69,103,29,39,4,56.252427184466,5794
"141","OrdalG",38,54,49.152822909778,100,42,27,6,35.87,3587
"142","ORiordan",15,40,39.6862696659689,18,18,12,4,89,1602
"143","OswaldE",39,67,61.2045749923974,113,26,47,4,42.9823008849558,4857
"144","PainA",22,80,79.8936793494955,32,13,20,13,201.96875,6463
"145","PapadB",36,56,52.0096144957834,94,23,46,1,37.6063829787234,3535
"146","ParsonsM",36,61,55.1996376799703,86,32,29,10,46,3956
"147","PetriW",48,76,69.1447756522501,194,29,75,9,35.6546391752577,6917
"148","PieperD",30,49,44.4747119158742,86,30,30,1,32.1395348837209,2764
"149","PietersJ",29,66,63.718129288296,62,24,40,9,71.0483870967742,4405
"150","PosasF",37,69,65.4064217030713,71,24,33,11,68.1549295774648,4839
"151","RahmeL",38,73,71.3652576538472,66,24,30,14,80.8636363636364,5337
"152","RaivioT",19,40,39.1407715815619,29,18,11,0,56.0689655172414,1626
"153","RamaniR",10,18,16.9705627484771,21,27,10,0,15.8571428571429,333
"154","RappeM",26,69,68.3593446428504,42,20,23,9,113.619047619048,4772
"155","RappuoliR",90,152,137.934767190872,486,34,129,58,63.4423868312757,30833
"156","RaskinL",31,59,55.1361950083609,76,21,16,0,47,3572
"157","RehermannB",42,86,82.7103379270089,87,23,32,5,85.9885057471264,7481
"158","RiceC",105,183,166,325,39,79,53,115.483076923077,37532
"159","RobbF",30,50,46.4435140789325,71,45,45,4,37.2112676056338,2642
"160","RobertP",25,36,32.6802692767364,106,62,57,2,16.8584905660377,1787
"161","RobertsI",29,51,46.3141447076376,78,29,29,0,36.1282051282051,2818
"162","RobertsM",35,54,49.2036584005702,132,50,39,0,29.6893939393939,3919
"163","RobinM",9,36,36.8103246386119,11,16,10,2,123.363636363636,1357
"164","RoseM",47,85,82.975900115636,85,34,30,10,87.8235294117647,7465
"165","RouseB",68,97,88.3345911860127,304,47,91,6,45.3782894736842,13795
"166","RudenkoG",26,45,42.142615011411,46,29,24,3,44.4130434782609,2043
"167","SalkinI",26,43,40.0374824383352,67,43,26,0,30.6716417910448,2055
"168","SanglierJ",14,30,29.8998327754521,27,27,14,0,35.1111111111111,948
"169","SansonP",92,155,141.212605669607,386,38,125,25,73.1165803108808,28223
"170","SanyalK",8,13,12.5698050899765,14,17,10,3,13,182
"171","SartorR",63,117,107.40577265678,221,39,65,0,67.7828054298643,14980
"172","SassettiC",18,57,56.8506816142076,29,17,14,7,114.379310344828,3317
"173","SatchellK",18,27,25.6515106767613,28,12,14,3,26.6785714285714,747
"174","SattentauQ",54,102,97.8825827203185,113,29,49,10,93.8495575221239,10605
"175","SawtellN",21,43,41.7252920900501,35,31,14,0,53.1142857142857,1859
"176","SchellhornH",21,35,33.8969025133566,35,27,19,0,36.2857142857143,1270
"177","ScreatonG",37,72,70.1355829803959,60,23,35,9,87.55,5253
"178","SecorW",29,42,38.4707681233427,98,25,38,0,22.6326530612245,2218
"179","SeeberF",20,33,31.9061122670876,29,20,24,1,38.0344827586207,1103
"180","SenG",58,99,90.0943949421938,182,40,57,17,60.6868131868132,11045
"181","ShiuP",10,22,22.1810730128188,16,16,7,2,32.4375,519
"182","SilhavyT",76,117,107.107422711967,185,41,42,36,82.0810810810811,15185
"183","SilicianoR",66,122,111.60645142643,202,37,52,32,78.7970297029703,15917
"184","SipkemaD",9,15,14.8996644257513,11,12,9,0,21.3636363636364,235
"185","SmileyJ",35,80,76.791926658992,73,39,12,3,89.8219178082192,6557
"186","SoldatiD",32,56,54.5435605731786,45,22,25,5,71.1111111111111,3200
"187","SoldatiT",32,62,60.2577795807313,55,25,29,5,71.2,3916
"188","SowersK",31,51,48.3425278610873,56,32,25,2,46.6607142857143,2613
"189","SpiroS",32,59,54.3323108288245,71,28,27,3,50.4366197183099,3581
"190","StahlD",71,150,142.021125189177,195,40,61,13,118.194871794872,23048
"191","StajichJ",31,77,75.6240702422185,56,13,29,10,108.303571428571,6065
"192","SteeleM",31,63,61.8869937870632,46,22,19,5,88.2173913043478,4058
"193","Subbaraok",52,96,88.5607136375944,137,20,43,14,69.9270072992701,9580
"194","Sundstrom",23,41,40.6201920231798,32,31,17,1,55.0625,1762
"195","Tamar",33,53,49.4368283772331,82,36,32,0,37.4024390243902,3067
"196","TummlB",53,82,75.0266619276108,216,38,91,6,39.3657407407407,8503
"197","UpinderS",26,49,45.0777106783386,65,19,31,2,39,2535
"198","ValdiviaR",23,66,65.9014415623816,31,19,20,5,143.225806451613,4440
"199","ValvanoM",41,67,61.3188388670236,131,33,46,4,41.6946564885496,5462
"200","VogelJ",52,84,79.2590688817374,95,18,31,22,75.021052631579,7127
"201","WagnerM",82,147,135.635541065017,194,23,51,15,115.020618556701,22314
"202","WallJ",30,53,48.6723740945518,74,41,25,5,40.0810810810811,2966
"203","WatnickP",19,44,44.1134900002256,27,16,11,2,74.3333333333333,2007
"204","WeissD",19,36,36.8374809127877,24,18,5,1,56.875,1365
"205","WeissS",40,59,54.4426303552648,123,40,35,3,34.1544715447154,4201
"206","WhiteleyM",25,51,50.1796771611775,41,18,17,6,65.6341463414634,2691
"207","WhitewayM",45,79,72.4223722339996,124,30,47,11,54.9758064516129,6817
"208","WiedlochaA",24,38,35.0428309358705,56,27,32,1,28.0357142857143,1570
"209","WilliamsP",75,120,109.89540481749,221,32,80,5,74.1628959276018,16390
"210","WrenB",52,95,87.0459648691426,176,28,68,14,55.6988636363636,9803
"211","XiaorongXR",15,31,30.8382878902185,27,12,13,3,37.0740740740741,1001
"212","YudaM",21,38,35.7351367704113,45,35,25,2,33.4888888888889,1507
